"...1","placekey","region","sub_category","category_tags","visitor_home_cbg","count"
899539,"restaurant_1","NM","Limited-Service Restaurants","Counter Service,Dinner,Fast Food,Lunch,Pizza","350010009043",4
1026216,"restaurant_35","GA","Full-Service Restaurants","Mexican Food","131299705001",16
1026217,"restaurant_35","GA","Full-Service Restaurants","Mexican Food","131299706003",16
1026218,"restaurant_35","GA","Full-Service Restaurants","Mexican Food","131299709003",12
1026219,"restaurant_35","GA","Full-Service Restaurants","Mexican Food","131299706002",10
1026220,"restaurant_35","GA","Full-Service Restaurants","Mexican Food","131299708003",9
1026221,"restaurant_35","GA","Full-Service Restaurants","Mexican Food","131299705003",8
1026222,"restaurant_35","GA","Full-Service Restaurants","Mexican Food","131299709002",7
1026223,"restaurant_35","GA","Full-Service Restaurants","Mexican Food","131299708002",7
1026224,"restaurant_35","GA","Full-Service Restaurants","Mexican Food","131299703002",6
1026225,"restaurant_35","GA","Full-Service Restaurants","Mexican Food","131299702004",5
1026226,"restaurant_35","GA","Full-Service Restaurants","Mexican Food","131299702002",4
1026227,"restaurant_35","GA","Full-Service Restaurants","Mexican Food","131299704002",4
1026228,"restaurant_35","GA","Full-Service Restaurants","Mexican Food","131299703003",4
1026229,"restaurant_35","GA","Full-Service Restaurants","Mexican Food","131299702003",4
1026230,"restaurant_35","GA","Full-Service Restaurants","Mexican Food","131299701003",4
1026231,"restaurant_35","GA","Full-Service Restaurants","Mexican Food","131299707001",4
1026232,"restaurant_35","GA","Full-Service Restaurants","Mexican Food","131299704003",4
1026233,"restaurant_35","GA","Full-Service Restaurants","Mexican Food","131299703004",4
1026234,"restaurant_35","GA","Full-Service Restaurants","Mexican Food","131299707002",4
1026235,"restaurant_35","GA","Full-Service Restaurants","Mexican Food","131299708001",4
1026236,"restaurant_35","GA","Full-Service Restaurants","Mexican Food","131299704001",4
1026237,"restaurant_35","GA","Full-Service Restaurants","Mexican Food","130159602005",4
1026238,"restaurant_35","GA","Full-Service Restaurants","Mexican Food","131299703001",4
1026239,"restaurant_35","GA","Full-Service Restaurants","Mexican Food","130159603001",4
1026240,"restaurant_35","GA","Full-Service Restaurants","Mexican Food","130159602003",4
1026241,"restaurant_35","GA","Full-Service Restaurants","Mexican Food","131299707003",4
1026242,"restaurant_35","GA","Full-Service Restaurants","Mexican Food","131299701001",4
1026243,"restaurant_35","GA","Full-Service Restaurants","Mexican Food","130159602001",4
1106202,"restaurant_6","NY","Limited-Service Restaurants","Breakfast,Burgers,Counter Service,Dinner,Drive Through,Fast Food,Late Night,Lunch","360010006003",9
1106203,"restaurant_6","NY","Limited-Service Restaurants","Breakfast,Burgers,Counter Service,Dinner,Drive Through,Fast Food,Late Night,Lunch","360010005011",8
1106204,"restaurant_6","NY","Limited-Service Restaurants","Breakfast,Burgers,Counter Service,Dinner,Drive Through,Fast Food,Late Night,Lunch","360010002002",5
1106205,"restaurant_6","NY","Limited-Service Restaurants","Breakfast,Burgers,Counter Service,Dinner,Drive Through,Fast Food,Late Night,Lunch","360010003004",5
1106206,"restaurant_6","NY","Limited-Service Restaurants","Breakfast,Burgers,Counter Service,Dinner,Drive Through,Fast Food,Late Night,Lunch","360010005012",5
1106207,"restaurant_6","NY","Limited-Service Restaurants","Breakfast,Burgers,Counter Service,Dinner,Drive Through,Fast Food,Late Night,Lunch","360010003002",4
